Object full path in v4, Object full path in v5
pymodaq.extensions.bayesian.bayesian_optimisation.CLASS_NAME, didnt move
pymodaq.extensions.bayesian.bayesian_optimisation.DataCalculated, pymodaq_data.data.DataCalculated
pymodaq.extensions.bayesian.bayesian_optimisation.DataEnlargeableSaver, pymodaq_data.h5modules.data_saving.DataEnlargeableSaver
pymodaq.extensions.bayesian.bayesian_optimisation.DataToActuators, didnt move
pymodaq.extensions.bayesian.bayesian_optimisation.EXTENSION_NAME, didnt move
pymodaq.extensions.bayesian.bayesian_optimisation.LoaderPlotter, didnt move
pymodaq.extensions.bayesian.bayesian_optimisation.OptimisationRunner, didnt move
pymodaq.extensions.bayesian.bayesian_optimisation.StopType, didnt move
pymodaq.extensions.bayesian.bayesian_optimisation.StoppingParameters, didnt move
pymodaq.extensions.bayesian.bayesian_optimisation.UtilityKind, didnt move
pymodaq.extensions.bayesian.bayesian_optimisation.UtilityParameters, didnt move
pymodaq.extensions.bayesian.bayesian_optimisation.get_bayesian_models, didnt move
pymodaq.extensions.bayesian.bayesian_optimisation.tempfile, didnt move
pymodaq.extensions.bayesian.utils.ABC, didnt move
pymodaq.extensions.bayesian.utils.BaseConfig, pymodaq_utils.config.BaseConfig
pymodaq.extensions.bayesian.utils.BayesianOptimization, didnt move
pymodaq.extensions.bayesian.utils.UtilityFunction, didnt move
pymodaq.extensions.bayesian.utils.get_entrypoints, pymodaq_utils.utils.get_entrypoints
pymodaq.extensions.bayesian.utils.namedtuple, didnt move
pymodaq.extensions.console.BANNER, didnt move
pymodaq.extensions.console.QtInProcessKernelManager, didnt move
pymodaq.extensions.console.RichJupyterWidget, didnt move
pymodaq.extensions.daq_logger.DAQ_Logging, didnt move
pymodaq.extensions.daq_logger.H5Logger, didnt move
pymodaq.extensions.daq_logger.LOG_TYPES, didnt move
pymodaq.extensions.daq_logger.data_mod, pymodaq_data.data.data_mod
pymodaq.extensions.daq_logger.is_sql, didnt move
pymodaq.extensions.daq_scan.BatchScanner, didnt move
pymodaq.extensions.daq_scan.DAQScanAcquisition, didnt move
pymodaq.extensions.daq_scan.DAQScanUI, didnt move
pymodaq.extensions.daq_scan.Navigator, pymodaq_gui.plotting.navigator.Navigator
pymodaq.extensions.daq_scan.SHOW_POPUPS, didnt move
pymodaq.extensions.daq_scan.ScanDataTemp, didnt move
pymodaq.extensions.daq_scan.ScanSelector, didnt move
pymodaq.extensions.daq_scan.Scanner, didnt move
pymodaq.extensions.daq_scan.SelectorItem, didnt move
pymodaq.extensions.daq_scan.Viewer1D, pymodaq_gui.plotting.data_viewers.viewer1D.Viewer1D
pymodaq.extensions.daq_scan.data_saving, pymodaq_data.h5modules.data_saving.data_saving
pymodaq.extensions.daq_scan.exceptions, didnt move
pymodaq.extensions.daq_scan.scanner_factory, didnt move
pymodaq.extensions.h5browser.argparse, didnt move
pymodaq.extensions.pid.actuator_controller, didnt move
pymodaq.extensions.pid.path, didnt move
pymodaq.extensions.pid.pid_controller, didnt move
pymodaq.extensions.pid.pid_controller.PID, didnt move
pymodaq.extensions.pid.pid_controller.PIDRunner, didnt move
pymodaq.extensions.pid.pid_controller.convert_output_limits, didnt move
pymodaq.extensions.pid.pid_controller.partial, didnt move
pymodaq.extensions.pid.utils.DAQ_0DViewer_Det_types, didnt move
pymodaq.extensions.pid.utils.DAQ_1DViewer_Det_types, didnt move
pymodaq.extensions.pid.utils.DAQ_2DViewer_Det_types, didnt move
pymodaq.extensions.pid.utils.DAQ_Move_Stage_type, didnt move
pymodaq.extensions.pid.utils.DAQ_NDViewer_Det_types, didnt move
pymodaq.extensions.pid.utils.DataToActuatorPID, didnt move
pymodaq.extensions.pid.utils.PIDModelGeneric, didnt move
pymodaq.extensions.utils.get_ext_modules, didnt move
pymodaq.extensions.utils.logger_module, pymodaq_utils.logger.logger_module
pymodaq.post_treatment.daq_analysis, didnt move
pymodaq.post_treatment.daq_measurement, didnt move
pymodaq.post_treatment.load_and_plot, didnt move
pymodaq.post_treatment.process_to_scalar, pymodaq_data.post_treatment.process_to_scalar.process_to_scalar
pymodaq.post_treatment.daq_measurement.daq_measurement_GUI, didnt move
pymodaq.post_treatment.daq_measurement.daq_measurement_main, didnt move
pymodaq.post_treatment.daq_measurement.daq_measurement_GUI.QtDesigner_ressources_rc, pymodaq_gui.QtDesigner_Ressources.QtDesigner_ressources_rc.QtDesigner_ressources_rc
pymodaq.post_treatment.daq_measurement.daq_measurement_GUI.Ui_Form, didnt move
pymodaq.post_treatment.daq_measurement.daq_measurement_main.DAQ_Measurement, didnt move
pymodaq.post_treatment.daq_measurement.daq_measurement_main.FourierFilterer, pymodaq_gui.plotting.utils.filter.FourierFilterer
pymodaq.post_treatment.daq_measurement.daq_measurement_main.Measurement_type, didnt move
pymodaq.post_treatment.daq_measurement.daq_measurement_main.curve_fit, didnt move
pymodaq.post_treatment.load_and_plot.DataDim, pymodaq_data.data.DataDim
pymodaq.post_treatment.load_and_plot.DataLoader, pymodaq_data.h5modules.data_saving.DataLoader
pymodaq.post_treatment.load_and_plot.ViewerND, pymodaq_gui.plotting.data_viewers.viewerND.ViewerND
pymodaq.post_treatment.process_to_scalar.ArgMaxProcessor, pymodaq_data.post_treatment.process_to_scalar.ArgMaxProcessor
pymodaq.post_treatment.process_to_scalar.ArgMeanProcessor, pymodaq_data.post_treatment.process_to_scalar.ArgMeanProcessor
pymodaq.post_treatment.process_to_scalar.ArgMinProcessor, pymodaq_data.post_treatment.process_to_scalar.ArgMinProcessor
pymodaq.post_treatment.process_to_scalar.ArgStdProcessor, pymodaq_data.post_treatment.process_to_scalar.ArgStdProcessor
pymodaq.post_treatment.process_to_scalar.DataBase, pymodaq_data.data.DataBase
pymodaq.post_treatment.process_to_scalar.DataProcessorBase, pymodaq_data.post_treatment.process_to_scalar.DataProcessorBase
pymodaq.post_treatment.process_to_scalar.DataProcessorFactory, pymodaq_data.post_treatment.process_to_scalar.DataProcessorFactory
pymodaq.post_treatment.process_to_scalar.MaxProcessor, pymodaq_data.post_treatment.process_to_scalar.MaxProcessor
pymodaq.post_treatment.process_to_scalar.MeanProcessor, pymodaq_data.post_treatment.process_to_scalar.MeanProcessor
pymodaq.post_treatment.process_to_scalar.MinProcessor, pymodaq_data.post_treatment.process_to_scalar.MinProcessor
pymodaq.post_treatment.process_to_scalar.ObjectFactory, pymodaq_utils.factory.ObjectFactory
pymodaq.post_treatment.process_to_scalar.StdProcessor, pymodaq_data.post_treatment.process_to_scalar.StdProcessor
pymodaq.post_treatment.process_to_scalar.SumProcessor, pymodaq_data.post_treatment.process_to_scalar.SumProcessor
pymodaq.post_treatment.process_to_scalar.config_processors, didnt move
pymodaq.post_treatment.process_to_scalar.mutils, pymodaq_utils.math_utils.mutils
pymodaq.resources.QtDesigner_Ressources, didnt move
pymodaq.resources.setup_plugin, didnt move
pymodaq.resources.QtDesigner_Ressources.QtDesigner_ressources_rc.qCleanupResources, didnt move
pymodaq.resources.QtDesigner_Ressources.QtDesigner_ressources_rc.qInitResources, didnt move
pymodaq.resources.QtDesigner_Ressources.QtDesigner_ressources_rc.qt_resource_data, didnt move
pymodaq.resources.QtDesigner_Ressources.QtDesigner_ressources_rc.qt_resource_name, didnt move
pymodaq.resources.QtDesigner_Ressources.QtDesigner_ressources_rc.qt_resource_struct, didnt move
pymodaq.resources.QtDesigner_Ressources.QtDesigner_ressources_rc.qt_resource_struct_v1, didnt move
pymodaq.resources.QtDesigner_Ressources.QtDesigner_ressources_rc.qt_resource_struct_v2, didnt move
pymodaq.resources.QtDesigner_Ressources.QtDesigner_ressources_rc.qt_version, didnt move
pymodaq.resources.QtDesigner_Ressources.QtDesigner_ressources_rc.rcc_version, didnt move
pymodaq.resources.setup_plugin.find_packages, didnt move
pymodaq.resources.setup_plugin.realsetup, didnt move
pymodaq.resources.setup_plugin.setup, didnt move
pymodaq.utils.abstract, didnt move
pymodaq.utils.array_manipulation, didnt move
pymodaq.utils.calibration_camera, didnt move
pymodaq.utils.chrono_timer, didnt move
pymodaq.utils.daq_utils, didnt move
pymodaq.utils.data, didnt move
pymodaq.utils.db, didnt move
pymodaq.utils.enums, didnt move
pymodaq.utils.factory, didnt move
pymodaq.utils.gui_utils, didnt move
pymodaq.utils.h5modules, didnt move
pymodaq.utils.leco, didnt move
pymodaq.utils.managers, didnt move
pymodaq.utils.math_utils, didnt move
pymodaq.utils.messenger, didnt move
pymodaq.utils.parameter, didnt move
pymodaq.utils.plotting, didnt move
pymodaq.utils.qvariant, didnt move
pymodaq.utils.scanner, didnt move
pymodaq.utils.slicing, didnt move
pymodaq.utils.svg, didnt move
pymodaq.utils.tcp_ip, didnt move
pymodaq.utils.units, didnt move
pymodaq.utils.abstract.DummyAttribute, pymodaq_utils.abstract.DummyAttribute
pymodaq.utils.abstract.R, pymodaq_utils.abstract.R
pymodaq.utils.abstract.abstract_attribute, pymodaq_utils.abstract.abstract_attribute
pymodaq.utils.abstract.logger.AbstractLogger, didnt move
pymodaq.utils.array_manipulation.arglimit, pymodaq_utils.array_manipulation.arglimit
pymodaq.utils.array_manipulation.crop_array_to_axis, pymodaq_utils.array_manipulation.crop_array_to_axis
pymodaq.utils.array_manipulation.crop_vector_to_axis, pymodaq_utils.array_manipulation.crop_vector_to_axis
pymodaq.utils.array_manipulation.find, pymodaq_utils.array_manipulation.find
pymodaq.utils.array_manipulation.find_index, pymodaq_utils.math_utils.find_index
pymodaq.utils.array_manipulation.find_rising_edges, pymodaq_utils.array_manipulation.find_rising_edges
pymodaq.utils.array_manipulation.interp1D, pymodaq_utils.array_manipulation.interp1D
pymodaq.utils.array_manipulation.limit, pymodaq_utils.array_manipulation.limit
pymodaq.utils.array_manipulation.linspace_this_image, pymodaq_utils.array_manipulation.linspace_this_image
pymodaq.utils.array_manipulation.linspace_this_vect, pymodaq_utils.array_manipulation.linspace_this_vect
pymodaq.utils.array_manipulation.marginals, pymodaq_utils.array_manipulation.marginals
pymodaq.utils.array_manipulation.max_ind, pymodaq_utils.array_manipulation.max_ind
pymodaq.utils.array_manipulation.min_ind, pymodaq_utils.array_manipulation.min_ind
pymodaq.utils.array_manipulation.random_step, pymodaq_utils.array_manipulation.random_step
pymodaq.utils.array_manipulation.rescale, pymodaq_utils.array_manipulation.rescale
pymodaq.utils.calibration_camera.CalibrationCamera, didnt move
pymodaq.utils.calibration_camera.calib_path, didnt move
pymodaq.utils.chrono_timer.ChronoTimer, didnt move
pymodaq.utils.chrono_timer.PushButtonShortcut, didnt move
pymodaq.utils.chrono_timer.timedelta, didnt move
pymodaq.utils.config.ConfigError, pymodaq_utils.config.ConfigError
pymodaq.utils.config.ConfigSaverLoader, pymodaq_gui.config.ConfigSaverLoader
pymodaq.utils.config.KeyType, pymodaq_utils.config.KeyType
pymodaq.utils.config.USER, didnt move
pymodaq.utils.config.check_config, pymodaq_utils.config.check_config
pymodaq.utils.config.copy_template_config, pymodaq_utils.config.copy_template_config
pymodaq.utils.config.create_toml_from_dict, pymodaq_utils.config.create_toml_from_dict
pymodaq.utils.config.deep_update, pymodaq_utils.config.deep_update
pymodaq.utils.config.get_config_file, pymodaq_utils.config.get_config_file
pymodaq.utils.config.get_set_batch_path, didnt move
pymodaq.utils.config.get_set_config_dir, pymodaq_utils.config.get_set_config_dir
pymodaq.utils.config.get_set_layout_path, didnt move
pymodaq.utils.config.get_set_log_path, pymodaq_utils.config.get_set_log_path
pymodaq.utils.config.get_set_overshoot_path, didnt move
pymodaq.utils.config.get_set_path, pymodaq_utils.config.get_set_path
