Object full path in v4, Object full path in v5
pymodaq.utils.parameter.pymodaq_ptypes.text.PlainTextParameterItem, pymodaq_gui.parameter.pymodaq_ptypes.text.PlainTextParameterItem
pymodaq.utils.parameter.pymodaq_ptypes.text.PlainTextWidget, pymodaq_gui.parameter.pymodaq_ptypes.text.PlainTextWidget
pymodaq.utils.parameter.utils.ParameterWithPath, pymodaq_gui.parameter.utils.ParameterWithPath
pymodaq.utils.parameter.utils.compareParameters, pymodaq_gui.parameter.utils.compareParameters
pymodaq.utils.parameter.utils.compareStructureParameter, pymodaq_gui.parameter.utils.compareStructureParameter
pymodaq.utils.parameter.utils.compareValuesParameter, pymodaq_gui.parameter.utils.compareValuesParameter
pymodaq.utils.parameter.utils.getOpts, pymodaq_gui.parameter.utils.getOpts
pymodaq.utils.parameter.utils.getStruct, pymodaq_gui.parameter.utils.getStruct
pymodaq.utils.parameter.utils.getValues, pymodaq_gui.parameter.utils.getValues
pymodaq.utils.parameter.utils.get_param_dict_from_name, pymodaq_gui.parameter.utils.get_param_dict_from_name
pymodaq.utils.parameter.utils.is_name_in_dict, pymodaq_gui.parameter.utils.is_name_in_dict
pymodaq.utils.parameter.utils.iter_children_params, pymodaq_gui.parameter.utils.iter_children_params
pymodaq.utils.parameter.utils.set_param_from_param, pymodaq_gui.parameter.utils.set_param_from_param
pymodaq.utils.plotting.data_viewers, pymodaq_gui.plotting.data_viewers.data_viewers
pymodaq.utils.plotting.image_viewer, pymodaq_gui.plotting.image_viewer.image_viewer
pymodaq.utils.plotting.items, pymodaq_gui.plotting.items.items
pymodaq.utils.plotting.navigator, pymodaq_gui.plotting.navigator.navigator
pymodaq.utils.plotting.plotter, pymodaq_gui.plotting.plotter.plotter
pymodaq.utils.plotting.scan_selector, didnt move
pymodaq.utils.plotting.data_viewers.DATA_TYPES, didnt move
pymodaq.utils.plotting.data_viewers.viewer, pymodaq_gui.plotting.data_viewers.viewer.viewer
pymodaq.utils.plotting.data_viewers.viewer0D, pymodaq_gui.plotting.data_viewers.viewer0D.viewer0D
pymodaq.utils.plotting.data_viewers.viewer1D, pymodaq_gui.plotting.data_viewers.viewer1D.viewer1D
pymodaq.utils.plotting.data_viewers.viewer1Dbasic, pymodaq_gui.plotting.data_viewers.viewer1Dbasic.viewer1Dbasic
pymodaq.utils.plotting.data_viewers.viewer2D, pymodaq_gui.plotting.data_viewers.viewer2D.viewer2D
pymodaq.utils.plotting.data_viewers.viewer2D_basic, pymodaq_gui.plotting.data_viewers.viewer2D_basic.viewer2D_basic
pymodaq.utils.plotting.data_viewers.viewerND, pymodaq_gui.plotting.data_viewers.viewerND.viewerND
pymodaq.utils.plotting.data_viewers.base.RoiInfo, pymodaq_gui.plotting.utils.plot_utils.RoiInfo
pymodaq.utils.plotting.data_viewers.viewer.config_viewers, didnt move
pymodaq.utils.plotting.data_viewers.viewer.create_viewer0D, pymodaq_gui.plotting.data_viewers.viewer.create_viewer0D
pymodaq.utils.plotting.data_viewers.viewer.create_viewer1D, pymodaq_gui.plotting.data_viewers.viewer.create_viewer1D
pymodaq.utils.plotting.data_viewers.viewer.create_viewer2D, pymodaq_gui.plotting.data_viewers.viewer.create_viewer2D
pymodaq.utils.plotting.data_viewers.viewer.create_viewerND, pymodaq_gui.plotting.data_viewers.viewer.create_viewerND
pymodaq.utils.plotting.data_viewers.viewer.get_viewer_enum_from_axes, pymodaq_gui.plotting.data_viewers.viewer.get_viewer_enum_from_axes
pymodaq.utils.plotting.data_viewers.viewer0D.Data0DWithHistory, pymodaq_gui.plotting.utils.plot_utils.Data0DWithHistory
pymodaq.utils.plotting.data_viewers.viewer0D.DataDisplayer, pymodaq_gui.plotting.data_viewers.viewer0D.DataDisplayer
pymodaq.utils.plotting.data_viewers.viewer0D.PLOT_COLORS, didnt move
pymodaq.utils.plotting.data_viewers.viewer0D.PlotWidget, pymodaq_gui.plotting.widgets.PlotWidget
pymodaq.utils.plotting.data_viewers.viewer0D.View0D, pymodaq_gui.plotting.data_viewers.viewer0D.View0D
pymodaq.utils.plotting.data_viewers.viewer0D.main_view, pymodaq_gui.plotting.data_viewers.viewer0D.main_view
pymodaq.utils.plotting.data_viewers.viewer1D.Crosshair, pymodaq_gui.plotting.items.crosshair.Crosshair
pymodaq.utils.plotting.data_viewers.viewer1D.Filter1DFromCrosshair, pymodaq_gui.plotting.utils.filter.Filter1DFromCrosshair
pymodaq.utils.plotting.data_viewers.viewer1D.Filter1DFromRois, pymodaq_gui.plotting.utils.filter.Filter1DFromRois
pymodaq.utils.plotting.data_viewers.viewer1D.View1D, pymodaq_gui.plotting.data_viewers.viewer1D.View1D
pymodaq.utils.plotting.data_viewers.viewer1D.main_errors, pymodaq_gui.plotting.data_viewers.viewer1D.main_errors
pymodaq.utils.plotting.data_viewers.viewer1D.main_extra_scatter, pymodaq_gui.plotting.data_viewers.viewer1D.main_extra_scatter
pymodaq.utils.plotting.data_viewers.viewer1D.main_nans, pymodaq_gui.plotting.data_viewers.viewer1D.main_nans
pymodaq.utils.plotting.data_viewers.viewer1D.main_random, pymodaq_gui.plotting.data_viewers.viewer1D.main_random
pymodaq.utils.plotting.data_viewers.viewer1D.main_unsorted, pymodaq_gui.plotting.data_viewers.viewer1D.main_unsorted
pymodaq.utils.plotting.data_viewers.viewer1D.main_view1D, pymodaq_gui.plotting.data_viewers.viewer1D.main_view1D
pymodaq.utils.plotting.data_viewers.viewer1D.make_dashed_pens, pymodaq_gui.plotting.utils.plot_utils.make_dashed_pens
pymodaq.utils.plotting.data_viewers.viewer1Dbasic.Viewer1DBasic, pymodaq_gui.plotting.data_viewers.viewer1Dbasic.Viewer1DBasic
pymodaq.utils.plotting.data_viewers.viewer2D.AXIS_POSITIONS, didnt move
pymodaq.utils.plotting.data_viewers.viewer2D.AxisItem_Scaled, pymodaq_gui.plotting.items.axis_scaled.AxisItem_Scaled
pymodaq.utils.plotting.data_viewers.viewer2D.COLORS_DICT, didnt move
pymodaq.utils.plotting.data_viewers.viewer2D.COLOR_LIST, pymodaq_utils.utils.COLOR_LIST
pymodaq.utils.plotting.data_viewers.viewer2D.Filter2DFromCrosshair, pymodaq_gui.plotting.utils.filter.Filter2DFromCrosshair
pymodaq.utils.plotting.data_viewers.viewer2D.Filter2DFromRois, pymodaq_gui.plotting.utils.filter.Filter2DFromRois
pymodaq.utils.plotting.data_viewers.viewer2D.Gradients, didnt move
pymodaq.utils.plotting.data_viewers.viewer2D.Histogrammer, pymodaq_gui.plotting.data_viewers.viewer2D.Histogrammer
pymodaq.utils.plotting.data_viewers.viewer2D.IMAGE_TYPES, didnt move
pymodaq.utils.plotting.data_viewers.viewer2D.ImageDisplayer, pymodaq_gui.plotting.data_viewers.viewer2D.ImageDisplayer
pymodaq.utils.plotting.data_viewers.viewer2D.ImageWidget, pymodaq_gui.plotting.widgets.ImageWidget
pymodaq.utils.plotting.data_viewers.viewer2D.IsoCurver, pymodaq_gui.plotting.data_viewers.viewer2D.IsoCurver
pymodaq.utils.plotting.data_viewers.viewer2D.SpreadImageItem, pymodaq_gui.plotting.items.image.SpreadImageItem
pymodaq.utils.plotting.data_viewers.viewer2D.UniformImageItem, pymodaq_gui.plotting.items.image.UniformImageItem
pymodaq.utils.plotting.data_viewers.viewer2D.View2D, pymodaq_gui.plotting.data_viewers.viewer2D.View2D
pymodaq.utils.plotting.data_viewers.viewer2D.crosshair_pens, didnt move
pymodaq.utils.plotting.data_viewers.viewer2D.generate_uniform_data, pymodaq_gui.plotting.data_viewers.viewer2D.generate_uniform_data
pymodaq.utils.plotting.data_viewers.viewer2D.histogram_factory, pymodaq_gui.plotting.data_viewers.viewer2D.histogram_factory
pymodaq.utils.plotting.data_viewers.viewer2D.image_item_factory, pymodaq_gui.plotting.data_viewers.viewer2D.image_item_factory
pymodaq.utils.plotting.data_viewers.viewer2D.main_spread, pymodaq_gui.plotting.data_viewers.viewer2D.main_spread
pymodaq.utils.plotting.data_viewers.viewer2D.plot_data, pymodaq_gui.plotting.data_viewers.viewer2D.plot_data
pymodaq.utils.plotting.data_viewers.viewer2D.print_roi_select, pymodaq_gui.plotting.data_viewers.viewer2D.print_roi_select
pymodaq.utils.plotting.data_viewers.viewer2D_basic.Viewer2DBasic, pymodaq_gui.plotting.data_viewers.viewer2D_basic.Viewer2DBasic
pymodaq.utils.plotting.data_viewers.viewerND.AxesViewer, pymodaq_gui.plotting.utils.axes_viewer.AxesViewer
pymodaq.utils.plotting.data_viewers.viewerND.BaseDataDisplayer, pymodaq_gui.plotting.data_viewers.viewerND.BaseDataDisplayer
pymodaq.utils.plotting.data_viewers.viewerND.DEBUG_VIEWER, didnt move
pymodaq.utils.plotting.data_viewers.viewerND.SpreadDataDisplayer, pymodaq_gui.plotting.data_viewers.viewerND.SpreadDataDisplayer
pymodaq.utils.plotting.data_viewers.viewerND.UniformDataDisplayer, pymodaq_gui.plotting.data_viewers.viewerND.UniformDataDisplayer
pymodaq.utils.plotting.image_viewer.Image_Viewer, pymodaq_gui.plotting.image_viewer.Image_Viewer
pymodaq.utils.plotting.image_viewer.Window, pymodaq_gui.plotting.image_viewer.Window
pymodaq.utils.plotting.items.axis_scaled, pymodaq_gui.plotting.items.axis_scaled.axis_scaled
pymodaq.utils.plotting.items.crosshair, pymodaq_gui.plotting.items.crosshair.crosshair
pymodaq.utils.plotting.items.image, pymodaq_gui.plotting.items.image.image
pymodaq.utils.plotting.items.image.PymodaqImage, pymodaq_gui.plotting.items.image.PymodaqImage
pymodaq.utils.plotting.items.image.makeAlphaTriangles, pymodaq_gui.plotting.utils.plot_utils.makeAlphaTriangles
pymodaq.utils.plotting.items.image.makePolygons, pymodaq_gui.plotting.utils.plot_utils.makePolygons
pymodaq.utils.plotting.navigator.Ntick, didnt move
pymodaq.utils.plotting.navigator.colors_blue, didnt move
pymodaq.utils.plotting.navigator.colors_green, didnt move
pymodaq.utils.plotting.navigator.colors_red, didnt move
pymodaq.utils.plotting.navigator.navigator_path, didnt move
pymodaq.utils.plotting.scan_selector.PolyLineROI, didnt move
pymodaq.utils.plotting.scan_selector.QVector, pymodaq_gui.plotting.utils.plot_utils.QVector
pymodaq.utils.plotting.scan_selector.RectangularRoi, didnt move
pymodaq.utils.plotting.scan_selector.Selector, didnt move
pymodaq.utils.plotting.scan_selector.SelectorFactory, didnt move
pymodaq.utils.plotting.scan_selector.SelectorWrapper, didnt move
pymodaq.utils.plotting.scan_selector.main_fake_scan, didnt move
pymodaq.utils.plotting.scan_selector.main_navigator, didnt move
pymodaq.utils.plotting.scan_selector.selector_factory, didnt move
pymodaq.utils.plotting.utils.axes_viewer, pymodaq_gui.plotting.utils.axes_viewer.axes_viewer
pymodaq.utils.plotting.utils.filter, pymodaq_gui.plotting.utils.filter.filter
pymodaq.utils.plotting.utils.lineout, pymodaq_gui.plotting.utils.lineout.lineout
pymodaq.utils.plotting.utils.plot_utils, pymodaq_gui.plotting.utils.plot_utils.plot_utils
pymodaq.utils.plotting.utils.signalND, didnt move
pymodaq.utils.plotting.utils.filter.Filter, pymodaq_gui.plotting.utils.filter.Filter
pymodaq.utils.plotting.utils.lineout.LineoutPlotter, pymodaq_gui.plotting.utils.lineout.LineoutPlotter
pymodaq.utils.plotting.utils.lineout.curve_item_factory, pymodaq_gui.plotting.utils.lineout.curve_item_factory
pymodaq.utils.plotting.utils.plot_utils.Vector, pymodaq_gui.plotting.utils.plot_utils.Vector
pymodaq.utils.plotting.utils.plot_utils.View_cust, pymodaq_gui.plotting.utils.plot_utils.View_cust
pymodaq.utils.plotting.utils.plot_utils.get_sub_segmented_positions, pymodaq_gui.plotting.utils.plot_utils.get_sub_segmented_positions
pymodaq.utils.plotting.utils.signalND.AxesManager, didnt move
pymodaq.utils.plotting.utils.signalND.DataAxis, didnt move
pymodaq.utils.plotting.utils.signalND.FancySlicing, didnt move
pymodaq.utils.plotting.utils.signalND.SpecialSlicers, pymodaq_data.slicing.SpecialSlicers
pymodaq.utils.plotting.utils.signalND.SpecialSlicersSignal, didnt move
pymodaq.utils.plotting.utils.signalND.add_scalar_axis, didnt move
pymodaq.utils.plotting.utils.signalND.attrgetter, didnt move
pymodaq.utils.plotting.utils.signalND.attrsetter, didnt move
pymodaq.utils.plotting.utils.signalND.generate_axis, didnt move
pymodaq.utils.plotting.utils.signalND.isfloat, didnt move
pymodaq.utils.plotting.utils.signalND.iterable_not_string, didnt move
pymodaq.utils.plotting.utils.signalND.math, didnt move
pymodaq.utils.qvariant.API_NAME, didnt move
pymodaq.utils.scanner.scan_config, didnt move
pymodaq.utils.scanner.scan_factory, didnt move
pymodaq.utils.scanner.scanners, didnt move
pymodaq.utils.scanner.scan_config.ScanConfig, didnt move
pymodaq.utils.scanner.scan_factory.ScanParameterManager, didnt move
pymodaq.utils.scanner.scan_factory.ScannerFactory, didnt move
pymodaq.utils.scanner.scanner.ScanInfo, didnt move
pymodaq.utils.scanner.scanners._1d_scanners, didnt move
pymodaq.utils.scanner.scanners._2d_scanners, didnt move
pymodaq.utils.scanner.scanners.sequential, didnt move
pymodaq.utils.scanner.scanners.tabular, didnt move
pymodaq.utils.scanner.scanners._1d_scanners.Scan1DBase, didnt move
pymodaq.utils.scanner.scanners._1d_scanners.Scan1DLinear, didnt move
pymodaq.utils.scanner.scanners._1d_scanners.Scan1DRandom, didnt move
pymodaq.utils.scanner.scanners._1d_scanners.Scan1DSparse, didnt move
pymodaq.utils.scanner.scanners._2d_scanners.Scan2DBase, didnt move
pymodaq.utils.scanner.scanners._2d_scanners.Scan2DLinear, didnt move
pymodaq.utils.scanner.scanners._2d_scanners.Scan2DLinearBF, didnt move
pymodaq.utils.scanner.scanners._2d_scanners.Scan2DRandom, didnt move
pymodaq.utils.scanner.scanners._2d_scanners.Scan2DSpiral, didnt move
pymodaq.utils.scanner.scanners.sequential.SequentialScanner, didnt move
pymodaq.utils.scanner.scanners.sequential.TableModelSequential, didnt move
pymodaq.utils.scanner.scanners.tabular.TableModelTabularReadOnly, didnt move
pymodaq.utils.scanner.scanners.tabular.TabularScanner, didnt move
pymodaq.utils.scanner.scanners.tabular.TabularScannerSubSegmented, didnt move
pymodaq.utils.scanner.utils.ScannerException, didnt move
pymodaq.utils.scanner.utils.register_scanner, didnt move
pymodaq.utils.scanner.utils.register_scanners, didnt move
pymodaq.utils.svg.svg_renderer, didnt move
pymodaq.utils.svg.svg_view, didnt move
pymodaq.utils.svg.svg_viewer2D, didnt move
pymodaq.utils.svg.svg_renderer.QSvgWidget, didnt move
pymodaq.utils.svg.svg_renderer.QtSvg, didnt move
pymodaq.utils.svg.svg_view.GraphicsView, didnt move
pymodaq.utils.svg.svg_view.SVGView, didnt move
pymodaq.utils.tcp_ip.mysocket, didnt move
pymodaq.utils.tcp_ip.serializer, didnt move
pymodaq.utils.tcp_ip.tcp_server_client, didnt move
pymodaq.utils.tcp_ip.mysocket.socket, didnt move
pymodaq.utils.tcp_ip.serializer.SocketString, didnt move
pymodaq.utils.tcp_ip.serializer.b64decode, didnt move
pymodaq.utils.tcp_ip.serializer.b64encode, didnt move
pymodaq.utils.tcp_ip.tcp_server_client.Grabber, didnt move
pymodaq.utils.tcp_ip.tcp_server_client.MockDataGrabber, didnt move
pymodaq.utils.tcp_ip.tcp_server_client.MockServer, didnt move
pymodaq.utils.tcp_ip.tcp_server_client.Timer, didnt move
pymodaq.utils.tcp_ip.tcp_server_client.select, didnt move
pymodaq.utils.units.Cb, didnt move
pymodaq.utils.units.E_J2eV, pymodaq_utils.units.E_J2eV
pymodaq.utils.units.Ecmrel2Enm, pymodaq_utils.units.Ecmrel2Enm
pymodaq.utils.units.Enm2cmrel, pymodaq_utils.units.Enm2cmrel
pymodaq.utils.units.c, didnt move
pymodaq.utils.units.cm2nm, pymodaq_utils.units.cm2nm
pymodaq.utils.units.eV2E_J, pymodaq_utils.units.eV2E_J
pymodaq.utils.units.eV2cm, pymodaq_utils.units.eV2cm
pymodaq.utils.units.eV2nm, pymodaq_utils.units.eV2nm
pymodaq.utils.units.eV2radfs, pymodaq_utils.units.eV2radfs
pymodaq.utils.units.h, didnt move
pymodaq.utils.units.l2w, pymodaq_utils.units.l2w
pymodaq.utils.units.nm2cm, pymodaq_utils.units.nm2cm
pymodaq.utils.units.nm2eV, pymodaq_utils.units.nm2eV
